start,type,end
E001,HAS_PART,M001
E001,HAS_PART,C001
E001,HAS_CREATOR,P001
E001,HAS_SUBJECT_PERSON,P024
E001,HAS_SUBJECT_PERSON,P025
E001,HAS_SUBJECT_PERSON,P093
E001,HAS_SUBJECT_WORK,B026
E001,HAS_SUBJECT_TOPIC,T018
E001,HAS_SUBJECT_TOPIC,T199
E001,HAS_SUBJECT_TOPIC,T214
E001,HAS_SUBJECT_ERA,H002
E001,HAS_SUBJECT_ERA,H024
E001,HAS_SUBJECT_CRITICAL_TERM,CT001
E001,HAS_SUBJECT_CRITICAL_TERM,CT002
E001,HAS_SUBJECT_CRITICAL_TERM,CT003
E001,HAS_SUBJECT_CRITICAL_TERM,CT437
E002,HAS_PART,C002
E002,HAS_PART,M002
E002,HAS_TYPE,T972
E002,HAS_CREATOR,P001
E002,HAS_SUBJECT_PERSON,P024
E002,HAS_SUBJECT_PERSON,P026
E002,HAS_SUBJECT_PERSON,P341
E002,HAS_SUBJECT_TOPIC,H004
E002,HAS_SUBJECT_TOPIC,T018
E002,HAS_SUBJECT_TOPIC,T096
E002,HAS_SUBJECT_TOPIC,T1070
E002,HAS_SUBJECT_TOPIC,T183
E002,HAS_SUBJECT_TOPIC,T188
E002,HAS_SUBJECT_TOPIC,T214
E002,HAS_SUBJECT_TOPIC,T247
E002,HAS_SUBJECT_CRITICAL_TERM,CT004
E002,HAS_SUBJECT_CRITICAL_TERM,CT005
E002,HAS_SUBJECT_ERA,H003
E002,HAS_SUBJECT_ERA,H004
E002,HAS_SUBJECT_ERA,H025
E002,HAS_SUBJECT_WORK,B027
E002,HAS_SUBJECT_PLACE,L072
E003,HAS_TYPE,T972
E003,HAS_PART,C003
E003,HAS_PART,C006
E003,HAS_PART,C004
E003,HAS_PART,C005
E003,HAS_CREATOR,P001
E003,HAS_SUBJECT_PERSON,P027
E003,HAS_SUBJECT_PERSON,P029
E003,HAS_SUBJECT_WORK,B040
E003,HAS_SUBJECT_TOPIC,H035
E003,HAS_SUBJECT_TOPIC,T013
E003,HAS_SUBJECT_TOPIC,T151
E003,HAS_SUBJECT_TOPIC,T153
E003,HAS_SUBJECT_CRITICAL_TERM,CT715
E008,HAS_PART,C012
E008,HAS_PART,M014
E008,HAS_PART,C013
E008,HAS_TYPE,T974
E008,HAS_CREATOR,P001
E008,HAS_SUBJECT_PERSON,P041
E008,HAS_SUBJECT_PLACE,L004
E008,HAS_SUBJECT_TOPIC,T079
E008,HAS_SUBJECT_TOPIC,T088
E008,HAS_SUBJECT_TOPIC,T103
E008,HAS_SUBJECT_TOPIC,T1055
E008,HAS_SUBJECT_TOPIC,T1061
E008,HAS_SUBJECT_TOPIC,T187
E008,HAS_SUBJECT_TOPIC,T200
E008,HAS_SUBJECT_TOPIC,T221
E008,HAS_SUBJECT_TOPIC,T228
E008,HAS_SUBJECT_TOPIC,T434
E008,HAS_SUBJECT_TOPIC,T493
E008,HAS_SUBJECT_CRITICAL_TERM,CT016
E008,HAS_SUBJECT_CRITICAL_TERM,CT611
E008,HAS_SUBJECT_CRITICAL_TERM,CT619
E008,HAS_SUBJECT_CRITICAL_TERM,CT680
E008,HAS_SUBJECT_ERA,H031
E032,HAS_PART,M050
E032,HAS_PART,M051
E032,HAS_PART,M053
E032,HAS_PART,M054
E032,HAS_PART,M055
E032,HAS_PART,M056
E032,HAS_PART,M057
E032,HAS_PART,C035
E032,HAS_TYPE,T972
E032,HAS_CREATOR,P002
E032,HAS_SUBJECT_PERSON,P039
E032,HAS_SUBJECT_PERSON,P066
E032,HAS_SUBJECT_PLACE,L036
E032,HAS_SUBJECT_TOPIC,T023
E032,HAS_SUBJECT_TOPIC,T024
E032,HAS_SUBJECT_TOPIC,T035
E032,HAS_SUBJECT_TOPIC,T153
E032,HAS_SUBJECT_CRITICAL_TERM,CT482
E033,HAS_PART,M058
E033,HAS_PART,C036
E033,HAS_TYPE,T972
E033,HAS_CREATOR,P002
E033,HAS_SUBJECT_PERSON,P067
E033,HAS_SUBJECT_PERSON,P498
E033,HAS_SUBJECT_TOPIC,T027
E033,HAS_SUBJECT_TOPIC,T097
E033,HAS_SUBJECT_TOPIC,T1052
E033,HAS_SUBJECT_TOPIC,T114
E033,HAS_SUBJECT_TOPIC,T204
E033,HAS_SUBJECT_ERA,H008
E034,HAS_PART,M059
E034,HAS_PART,M060
E034,HAS_PART,M061
E034,HAS_PART,C037
E034,HAS_PART,M062
E034,HAS_PART,C038
E034,HAS_TYPE,T972
E034,HAS_CREATOR,P002
E034,HAS_SUBJECT_PERSON,P001
E034,HAS_SUBJECT_PERSON,P041
E034,HAS_SUBJECT_PERSON,P068
E034,HAS_SUBJECT_PERSON,P094
E034,HAS_SUBJECT_PERSON,P498
E034,HAS_SUBJECT_TOPIC,T060
E034,HAS_SUBJECT_TOPIC,T074
E034,HAS_SUBJECT_TOPIC,T079
E034,HAS_SUBJECT_TOPIC,T093
E034,HAS_SUBJECT_TOPIC,T1052
E034,HAS_SUBJECT_TOPIC,T136
E034,HAS_SUBJECT_TOPIC,T187
E034,HAS_SUBJECT_TOPIC,T200
E034,HAS_SUBJECT_TOPIC,T204
E034,HAS_SUBJECT_TOPIC,T215
E034,HAS_SUBJECT_TOPIC,T216
E034,HAS_SUBJECT_TOPIC,T221
E034,HAS_SUBJECT_TOPIC,T228
E034,HAS_SUBJECT_CRITICAL_TERM,CT017
E034,HAS_SUBJECT_ERA,H008
E034,HAS_SUBJECT_WORK,B034
E035,HAS_PART,M063
E035,HAS_PART,C039
E035,HAS_PART,M064
E035,HAS_PART,C040
E035,HAS_PART,M065
E035,HAS_PART,M066
E035,HAS_PART,C041
E035,HAS_TYPE,T972
E035,HAS_CREATOR,P002
